year,geo,Traveller_characteristics,value
1977,Beaver Creek,Canadian-resident visitors returning to Canada,4286
1977,Dawson,United States of America residents entering Canada,479
1977,Dawson,Residents of countries other than the United States of America entering Canada,0
1977,Beaver Creek,United States of America residents entering Canada,63047
1977,Beaver Creek,Residents of countries other than the United States of America entering Canada,232
1977,Fraser,Canadian-resident visitors returning to Canada,3807
1977,Dawson,Canadian-resident visitors returning to Canada,53
1977,Fraser,United States of America residents entering Canada,46526
1977,Little Gold Creek,United States of America residents entering Canada,9009
1977,Fraser,Residents of countries other than the United States of America entering Canada,808
1977,Pleasant Camp,Canadian-resident visitors returning to Canada,5403
1977,Little Gold Creek,Canadian-resident visitors returning to Canada,2433
1977,Pleasant Camp,Residents of countries other than the United States of America entering Canada,263
1977,Whitehorse,Residents of countries other than the United States of America entering Canada,10
1977,Little Gold Creek,Residents of countries other than the United States of America entering Canada,530
1977,Old Crow,Canadian-resident visitors returning to Canada,34
1977,Old Crow,Residents of countries other than the United States of America entering Canada,0
1977,Old Crow,United States of America residents entering Canada,93
1977,Pleasant Camp,United States of America residents entering Canada,25433
1977,Whitehorse,Canadian-resident visitors returning to Canada,1410
1977,Whitehorse,United States of America residents entering Canada,6528
1978,Beaver Creek,Residents of countries other than the United States of America entering Canada,207
1978,Dawson,United States of America residents entering Canada,601
1978,Beaver Creek,Canadian-resident visitors returning to Canada,9476
1978,Dawson,Residents of countries other than the United States of America entering Canada,0
1978,Beaver Creek,United States of America residents entering Canada,79796
1978,Fraser,Canadian-resident visitors returning to Canada,3968
1978,Dawson,Canadian-resident visitors returning to Canada,113
1978,Fraser,Residents of countries other than the United States of America entering Canada,848
1978,Fraser,United States of America residents entering Canada,37684
1978,Whitehorse,Residents of countries other than the United States of America entering Canada,318
1978,Little Gold Creek,Residents of countries other than the United States of America entering Canada,706
1978,Little Gold Creek,Canadian-resident visitors returning to Canada,3065
1978,Old Crow,Residents of countries other than the United States of America entering Canada,0
1978,Little Gold Creek,United States of America residents entering Canada,11343
1978,Pleasant Camp,Canadian-resident visitors returning to Canada,8161
1978,Old Crow,Canadian-resident visitors returning to Canada,98
1978,Pleasant Camp,Residents of countries other than the United States of America entering Canada,234
1978,Old Crow,United States of America residents entering Canada,122
1978,Pleasant Camp,United States of America residents entering Canada,32103
1978,Whitehorse,Canadian-resident visitors returning to Canada,2241
1978,Whitehorse,United States of America residents entering Canada,8445
1979,Beaver Creek,Residents of countries other than the United States of America entering Canada,331
1979,Beaver Creek,Canadian-resident visitors returning to Canada,9540
1979,Dawson,Residents of countries other than the United States of America entering Canada,19
1979,Dawson,United States of America residents entering Canada,627
1979,Beaver Creek,United States of America residents entering Canada,73254
1979,Dawson,Canadian-resident visitors returning to Canada,78
1979,Fraser,Canadian-resident visitors returning to Canada,18261
1979,Fraser,Residents of countries other than the United States of America entering Canada,914
1979,Little Gold Creek,Canadian-resident visitors returning to Canada,2557
1979,Fraser,United States of America residents entering Canada,54874
1979,Pleasant Camp,United States of America residents entering Canada,22771
1979,Pleasant Camp,Residents of countries other than the United States of America entering Canada,133
1979,Little Gold Creek,United States of America residents entering Canada,8577
1979,Little Gold Creek,Residents of countries other than the United States of America entering Canada,529
1979,Whitehorse,Canadian-resident visitors returning to Canada,1943
1979,Old Crow,Residents of countries other than the United States of America entering Canada,0
1979,Old Crow,Canadian-resident visitors returning to Canada,94
1979,Pleasant Camp,Canadian-resident visitors returning to Canada,6498
1979,Whitehorse,Residents of countries other than the United States of America entering Canada,448
1979,Old Crow,United States of America residents entering Canada,105
1979,Whitehorse,United States of America residents entering Canada,8138
1980,Beaver Creek,Canadian-resident visitors returning to Canada,7507
1980,Dawson,Residents of countries other than the United States of America entering Canada,101
1980,Dawson,Canadian-resident visitors returning to Canada,109
1980,Dawson,United States of America residents entering Canada,656
1980,Beaver Creek,Residents of countries other than the United States of America entering Canada,1398
1980,Fraser,Canadian-resident visitors returning to Canada,17012
1980,Fraser,United States of America residents entering Canada,37772
1980,Fraser,Residents of countries other than the United States of America entering Canada,1824
1980,Beaver Creek,United States of America residents entering Canada,55365
1980,Pleasant Camp,United States of America residents entering Canada,22306
1980,Little Gold Creek,Residents of countries other than the United States of America entering Canada,840
1980,Pleasant Camp,Residents of countries other than the United States of America entering Canada,515
1980,Little Gold Creek,Canadian-resident visitors returning to Canada,3282
1980,Whitehorse,Canadian-resident visitors returning to Canada,1377
1980,Old Crow,Canadian-resident visitors returning to Canada,85
1980,Whitehorse,Residents of countries other than the United States of America entering Canada,554
1980,Little Gold Creek,United States of America residents entering Canada,8772
